Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Italy,ITA,"School enrollment, tertiary, female (% gross)",60.31299,63.74288,67.45528,71.63927,74.75213,77.27667,78.24798,78.05251,78.64561,77.70516,77.63033
Jamaica,JAM,"School enrollment, tertiary, female (% gross)",23.40983,25.47715,,,,,,33.23328,33.1447,37.79228,36.98515
Jordan,JOR,"School enrollment, tertiary, female (% gross)",,30.13271,35.15996,39.7811,38.95963,39.64085,40.60208,43.48452,43.92889,39.59065,39.07156
Japan,JPN,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Kazakhstan,KAZ,"School enrollment, tertiary, female (% gross)",,,,,,67.74933,,,,51.68813,54.27813
Kenya,KEN,"School enrollment, tertiary, female (% gross)",1.92672,1.9357,,2.15738,2.18099,,,,3.27667,,
Kyrgyz Republic,KGZ,"School enrollment, tertiary, female (% gross)",41.7854,46.71076,44.73227,44.48707,47.485,48.87653,48.56711,54.0069,50.88197,47.75469,45.84192
Cambodia,KHM,"School enrollment, tertiary, female (% gross)",1.27862,1.41784,,1.75143,2.12414,3.60106,4.80518,6.18139,8.44712,10.47134,11.42138
Kiribati,KIR,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
St. Kitts and Nevis,KNA,"School enrollment, tertiary, female (% gross)",,,,,,,,27.55005,,,
"Korea, Rep.",KOR,"School enrollment, tertiary, female (% gross)",58.92216,61.53387,63.65265,66.83379,70.9446,76.55595,82.08671,85.41397,86.80551,86.81078,85.59628
Kuwait,KWT,"School enrollment, tertiary, female (% gross)",30.80952,30.09047,29.16327,28.09773,,,,,,,
Latin America & Caribbean (excluding high income),LAC,"School enrollment, tertiary, female (% gross)",25.51762962,27.79150963,29.73417091,31.20396996,33.12210083,36.15063858,39.1583786,43.04290009,44.44805145,45.48794,48.16582
Lao PDR,LAO,"School enrollment, tertiary, female (% gross)",2.29077,2.98963,3.55678,4.38712,6.44694,7.21419,9.59452,11.56532,14.45276,14.37842,14.9919
Lebanon,LBN,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Liberia,LBR,"School enrollment, tertiary, female (% gross)",,,,,,,,,,6.57833,
Libya,LBY,"School enrollment, tertiary, female (% gross)",55.12979,61.70382,63.63853,,,,,,,,
St. Lucia,LCA,"School enrollment, tertiary, female (% gross)",,,,21.25598,19.02582,15.90988,12.02367,21.84271,25.13349,17.825,20.56317
Latin America & Caribbean,LCN,"School enrollment, tertiary, female (% gross)",26.40889931,28.66165924,30.63538933,32.0557518,34.01396179,36.91397095,39.97578049,43.81837082,45.32762909,46.54843,49.2631
Least developed countries: UN classification,LDC,"School enrollment, tertiary, female (% gross)",3.261430025,3.281399965,3.358779907,3.415810108,3.745640039,4.119309902,4.406700134,4.887730122,5.652840137,6.38094,6.88738
Low income,LIC,"School enrollment, tertiary, female (% gross)",2.679909945,2.820090055,3.004070044,3.221430063,3.58942008,3.883529902,4.198329926,4.561910152,4.979189873,5.50325,5.78736
Liechtenstein,LIE,"School enrollment, tertiary, female (% gross)",,,11.35496,13.25864,14.02214,18.07116,20.15066,24.83537,22.52592,27.35761,29.93513
Sri Lanka,LKA,"School enrollment, tertiary, female (% gross)",,,,,,,,,,20.87313,19.10599
Lower middle income,LMC,"School enrollment, tertiary, female (% gross)",10.13134956,10.78981972,10.98894978,11.33854008,11.78495979,12.53796959,13.34996033,14.5344696,15.3852396,16.49129,18.98158
Low & middle income,LMY,"School enrollment, tertiary, female (% gross)",13.60813999,14.99022961,16.11330032,17.09328079,18.00914955,19.13821983,20.22496033,21.45615959,22.52437019,23.80083,25.62827
Lesotho,LSO,"School enrollment, tertiary, female (% gross)",2.65465,2.41675,3.10237,,3.74373,3.91437,,,,,
Late-demographic dividend,LTE,"School enrollment, tertiary, female (% gross)",18.94544983,21.8176403,24.37034035,26.31356049,27.77504921,29.00152016,29.91459084,30.80073929,32.38433838,34.24414,36.2293
Lithuania,LTU,"School enrollment, tertiary, female (% gross)",69.81631,77.30593,84.97884,91.51045,97.53856,100.45186,100.37218,104.03379,107.20506,104.5516,101.428
Luxembourg,LUX,"School enrollment, tertiary, female (% gross)",11.01113,,13.28258,,,11.00372,,10.40831,,19.22441,
Latvia,LVA,"School enrollment, tertiary, female (% gross)",79.81806,84.93142,89.25354,94.5927,97.29243,96.55357,95.54101,95.62019,95.3237,88.43245,84.82514
"Macao SAR, China",MAC,"School enrollment, tertiary, female (% gross)",38.50571,44.1611,51.64261,48.9961,44.20862,43.1276,44.32935,46.21962,51.69932,54.09354,58.11605
St. Martin (French part),MAF,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Morocco,MAR,"School enrollment, tertiary, female (% gross)",8.99376,9.1471,9.50419,10.04115,10.51204,11.60138,11.34145,12.78548,12.82843,13.82102,15.71061
Monaco,MCO,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Moldova,MDA,"School enrollment, tertiary, female (% gross)",35.80864,36.92306,37.96748,39.55115,42.90459,45.85366,48.01577,47.42404,44.66556,43.73392,45.41286
