Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Indonesia,IDN,"Foreign direct investment, net inflows (BoP, current US$)",-2977391857,145085548.7,-596923827.8,1896082770,8336257208,4914201435,6928480000,9318453650,4877369178,15292009411,20564938227
IDA only,IDX,"Foreign direct investment, net inflows (BoP, current US$)",4945746339,5165879666,6978899981,8772590448,9286943375,12896665369,19409830763,25209647468,20462087447,28313990075,34054976520
Isle of Man,IMN,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
India,IND,"Foreign direct investment, net inflows (BoP, current US$)",5128093562,5208967106,3681984671,5429250990,7269407226,20029119267,25227740887,43406277076,35581372930,27396885034,36498654598
Not classified,INX,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Ireland,IRL,"Foreign direct investment, net inflows (BoP, current US$)",9572506272,29477434763,22410807389,-10994234313,47001243614,22070063905,59934755383,23287686336,53974309647,37748455284,23699352433
"Iran, Islamic Rep.",IRN,"Foreign direct investment, net inflows (BoP, current US$)",408118760,3519380360,2877481500,3037299840,2889191670,2317538500,2017791750,1979988010,2983421910,3648972410,4276718690
Iraq,IRQ,"Foreign direct investment, net inflows (BoP, current US$)",-6656000,-326000,1000000000,300000000,515300000,383000000,971800000,1855700000,1598300000,1396200000,2082000000
Iceland,ISL,"Foreign direct investment, net inflows (BoP, current US$)",163445772.3,91905493.06,335355205,755317000.4,3093680068,3876554983,6872169567,1203686965,63588140.75,256983077.7,1106959502
Israel,ISR,"Foreign direct investment, net inflows (BoP, current US$)",1771300000,1582500000,3322000000,2946900000,4818400000,14395500000,8798100000,10274200000,4606900000,6984700000,8653000000
Italy,ITA,"Foreign direct investment, net inflows (BoP, current US$)",14878086499,17239360005,19572886734,20100742902,36762073075,56995485107,65975535145,-9501579210,16607196345,9930501391,34465481830
Jamaica,JAM,"Foreign direct investment, net inflows (BoP, current US$)",576500000,443800000,683500000,559365888,637901995.9,842342788.3,811902426.3,1376602630,485164640.1,185775630.6,172757165.4
Jordan,JOR,"Foreign direct investment, net inflows (BoP, current US$)",273628171.3,238222874.7,546967559.9,936812411.8,1984485190,3544005642,2622144779,2826744496,2413098592,1688394366,1486056338
Japan,JPN,"Foreign direct investment, net inflows (BoP, current US$)",4926033619,11557373874,8771535612,7527948175,5459618343,-2396909736,21631204436,24624845330,12226471579,7440979284,-850717035.1
Kazakhstan,KAZ,"Foreign direct investment, net inflows (BoP, current US$)",2816823050,2588491060,2483253230,5615262947,2546065710,7611168450,11972842989,16818890680,14275888207,7456117901,13760291529
Kenya,KEN,"Foreign direct investment, net inflows (BoP, current US$)",5302622.939,27618447.06,81738242.64,46063931.45,21211685.4,50674725.18,729044146,95585680.23,116257609,178064606.8,1450474757
Kyrgyz Republic,KGZ,"Foreign direct investment, net inflows (BoP, current US$)",5006732.877,4661963.545,45544627.8,175458810.1,42565248.3,182022902.5,207919477.6,376992152.1,189377400,472768300,685760800
Cambodia,KHM,"Foreign direct investment, net inflows (BoP, current US$)",146481995.1,130956363.9,81580650.56,131416229.3,379180190.6,483209382.7,867288538.6,815180218,928393617.3,1404315449,1538883425
Kiribati,KIR,"Foreign direct investment, net inflows (BoP, current US$)",-273476.291,249788.108,670758.9937,1953667.954,2606016.174,568432.8669,1153047.102,-1267679.262,4995548.978,-6602470.868,-348737.5792
